gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2756-gate-source-artifacts-present,artifact,True,True,True,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-required-artifacts-present,artifact,True,True,True,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-m2753-status-pass,lineage,True,True,True,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-m2753-gate-matrix-pass,lineage,True,True,True,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-execution-row-count,diagnostic_accounting,True,12,12,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-diagnostic-success-count,diagnostic_accounting,True,0,0,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-collision-negative-clearance-count,diagnostic_accounting,True,3,3,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-offtrack-positive-clearance-count,diagnostic_accounting,True,9,9,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-outcome-bucket-rows,artifact,True,2,2,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-stress-axis-context-rows,artifact,True,4,4,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-source-edge-context-rows,artifact,True,True,True,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-prior-panel-guardrail-rows,guardrail,True,25,25,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-blocker-guardrail-rows,guardrail,True,6,6,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-guardrail-context-rows,guardrail,True,31,31,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-guardrails-not-executed,guardrail,True,False,False,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-guardrails-outside-denominator,guardrail,True,False,False,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2756-gate-guardrail-labels-actor-invisible,actor_contract,True,False,False,,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
