gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,artifact,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
checkpoint_admitted,lineage,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
candidate_row_count,panel_shape,True,32,32,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_family_count,panel_shape,True,4,4,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
dynamics_axis_count,panel_shape,True,2,2,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
intervention_condition_count,panel_shape,True,4,4,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
candidate_intervention_row_count,panel_shape,True,128,128,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
execution_plus_failure_accounting,artifact,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
trace_row_accounting,artifact,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
actor_contract_shape_72_action_3,actor_contract,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
all_actions_finite,actor_contract,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
all_actions_within_bounds,actor_contract,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
hidden_oracle_actor_input_detected,actor_contract,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
actor_visible_label_detected,actor_contract,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
mitigation_reference_rows_guarded,claim_boundary,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
external_high_fidelity_simulation_included,forbidden_claim,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
training_run,forbidden_claim,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
ranking_run,forbidden_claim,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
success_rate_computed,forbidden_claim,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
driver_performance_claim_made,forbidden_claim,True,False,False,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2774_follow_up_manifest_registered,next_route,True,True,True,,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
