gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2664_gate_source_artifacts_present,artifact,True,True,True,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_m2662_status_pass,source_status,True,True,True,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_m2662_gate_matrix_pass,source_status,True,True,True,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_m2662_claim_boundary_pass,source_status,True,True,True,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_m2662_panel_spec_row_count,source_shape,True,12,12,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_m2662_measured_behavior_row_count,source_shape,True,60,60,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_m2662_protected_gate_row_count,source_shape,True,27,27,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_fresh_protected_seed_count,fresh_panel,True,4,4,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_subject_failure_taxonomy_row_count,taxonomy_shape,True,3,3,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_axis_failure_taxonomy_row_count,taxonomy_shape,True,3,3,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_metric_failure_taxonomy_row_count,taxonomy_shape,True,3,3,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_combined_failure_taxonomy_row_count,taxonomy_shape,True,9,9,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_claim_boundary_row_count,claim_boundary,True,16,16,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_protected_gate_blocking_row_count,protected_blocker,True,25,25,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_protected_gate_regressed_row_count,protected_blocker,True,79,79,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2664_gate_all_policy_subjects_blocking,protected_blocker,True,True,True,,"Route A protected mitigation fresh-panel failure taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
