claim_id,claim_family,allowed_in_m2981,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2981-claim-0001,target_source_feasibility_artifact,True,True,True,M2982 audit,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0002,numeric_target_tensor_materialized,False,False,True,target materialization preflight and audit,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0003,residual_fitting_readiness,False,False,True,target-source audit plus fitting-admission design,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0004,residual_fitting_run,False,False,True,future fitting preflight,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0005,training_run,False,False,True,future training manifest and audit,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0006,validation_run,False,False,True,future validation manifest and audit,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0007,ranking_run,False,False,True,future ranking manifest and audit,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0008,checkpoint_mutated,False,False,True,future mutation manifest and audit,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0009,repair_success,False,False,True,closed-loop repair validation,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-claim-0010,driver_performance,False,False,True,held-out validation,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
