handoff_artifact_id,source_milestone,artifact_path,artifact_family,required_for_handoff,exists,status_pass_field,claim_scope,external_hf3_execution_evidence,validation_evidence,driver_performance_evidence,self_id_evidence,notes
m2831_design,m2831,docs/m2831-engineering-controller-route-c-hf0-source-only-interface-evidence-handoff-design.md,route_c_hf0_handoff_design,True,True,present,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,design artifact
m2475_boundary,m2475,docs/m2475-high-fidelity-interface-external-backend-route-design.md,hf0_contract_route,True,True,present,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,HF0 external-backend boundary design
m2482_fixture_catalog,m2482,runs/m2482_high_fidelity_interface_scenario_taxonomy_fixture_materialization_preflight/summary.json,fixture_catalog,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,HF0 scenario taxonomy fixture catalog
m2484_fixture_smoke,m2484,runs/m2484_high_fidelity_interface_source_only_fixture_smoke_preflight/summary.json,fixture_smoke,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,source-only fixture smoke rows
m2496_role_parameterization,m2496,runs/m2496_engineering_controller_source_only_role_fixture_parameterization_preflight/summary.json,source_only_role_parameterization,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,role fixture differentiation rows
m2498_role_metric_panel,m2498,runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/summary.json,source_only_role_metric_panel,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,parameterized role telemetry panel
m2501_baseline_comparison,m2501,runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/summary.json,source_only_baseline_comparison,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,source-only baseline comparison telemetry
m2505_public_pack,m2505,public_benchmark_packs/engineering_controller_source_only_diagnostics_m2505/summary.json,public_diagnostic_pack,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,public benchmark pack summary
m2508_runtime_report,m2508,runs/m2508_engineering_controller_runtime_inference_cost_report/summary.json,runtime_inference_cost,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,actor runtime/inference-cost report
m2548_hf0_parity_runtime,m2548,runs/m2548_engineering_controller_route_a_hf0_parity_and_runtime_materialization/summary.json,hf0_parity_runtime,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,HF0 P0 parity/action mapping/runtime materialization
m2592_adapter_closure,m2592,runs/m2592_engineering_controller_route_a_hf3_source_only_adapter_blocker_closure/summary.json,source_only_adapter_closure,True,True,True,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,repo-local source-only adapter blocker closure
m2593_adapter_closure_audit,m2593,docs/m2593-engineering-controller-route-a-baseline-hf3-source-only-adapter-readiness-blocker-closure-materialization-result-audit.md,source_only_adapter_closure,True,True,present,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim",False,False,False,False,source-only adapter closure result audit
