gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
required_artifacts_present,artifact_completeness,True,True,True,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
source_artifacts_exist,artifact_completeness,True,[],[],none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2475_boundary_present,lineage,True,present,present,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2482_fixture_catalog_present,lineage,True,10,10,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2484_fixture_smoke_present,lineage,True,6,6,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2498_parameterized_role_panel_present,lineage,True,300,300,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2501_baseline_comparison_present,lineage,True,900,900,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2505_public_pack_present,lineage,True,True,True,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2508_runtime_report_present,lineage,True,300,300,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2548_hf0_parity_runtime_present,lineage,True,270,270,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2593_source_only_adapter_closure_present,lineage,True,True,True,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2638_selected_platform_blocker_present,blocker,True,present,present,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
m2828_mixed_outcomes_preserved,blocker,True,16/5/1/10,16/5/1/10,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
actor_observation_shape_72_preserved,actor_contract,True,72,72,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
action_shape_3_preserved,actor_contract,True,3,3,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
labels_actor_invisible,actor_contract,True,False,False,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
diagnostics_actor_invisible,actor_contract,True,False,False,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
actor_contract_guard_rows_pass,actor_contract,True,11,11,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
external_hf3_execution_forbidden,claim_boundary,True,False,False,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
reset_step_rollout_validation_forbidden,claim_boundary,True,False,False,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
ranking_promotion_success_verdict_forbidden,claim_boundary,True,False,False,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
driver_performance_paper_high_fidelity_self_id_claims_forbidden,claim_boundary,True,False,False,none,"Route C HF0 source-only interface evidence handoff materialization only; existing-artifact reanalysis with no external install, import, source build, adapter probe, backend start, reset, step, policy action, rollout, replay, validation, training, ranking, promotion, package publication, performance, paper, current-sim, high-fidelity validation, full-driver, or self-ID claim"
