gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0,missing=0,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2596_after_closure_readiness_accepted,lineage,True,m2596_status=True;source_closure=True;selected=False;protocol_ready=False,m2596_status=True;source_closure=True;selected=False;protocol_ready=False,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
platform_selection_criteria_rows_complete,contract,True,rows=3,rows=3;open=true;black_box_demo=true;repo_local_diagnostic=true;selected/decision=false,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
auditability_rows_pass,contract,True,rows=3,rows=3;open_future_authority=true;black_box_demo=true;repo_local_diagnostic=true,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_import_risk_rows_pass,contract,True,rows=3,rows=3;install/import/run/mutation=false,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_role_compatibility_rows_pass,scenario,True,rows=2,rows=2;criteria=true;future reset/rollout/holdout=true;execution/readiness/result=false,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_guard_rows_pass,contract,True,rows=2,rows=compatibility_rows;obs=72;action=3;hidden/status/criteria/outcomes=false,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=18;forbidden_claims=0,rows=18;forbidden_claims=0;criteria_materialized=true,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_contract_preserved,contract,True,obs=72;action=3,obs=72;action=3,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_platform_selected_or_external_execution,claim_boundary,True,selected/decision/install/import/run/reset/action/step/rollout/validation=false,selected/decision/install/import/run/reset/action/step/rollout/validation=false,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_readiness_and_result_forbidden,claim_boundary,True,readiness/result/performance=false,readiness/result/performance=false,,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
