failure_id,failure_category,evidence_scope,evidence_type,source_artifact,source_milestone,severity,known_limitation,observed_evidence,route_implication,forbidden_interpretation,source_exists
source_only_hf0_not_external_validation,validation_boundary,public_pack,known_limitation,public_benchmark_packs/engineering_controller_source_only_diagnostics_m2505/known_limitations.md,m2505,high,The diagnostic pack uses source-only HF0 artifacts and does not include external high-fidelity validation.,external_high_fidelity_simulation_included=False,Use taxonomy as an engineering limitation until high-fidelity validation exists.,high-fidelity validation readiness,True
fixed_public_fixture_scope,objective_overfit,source_only_roles,scope_limitation,public_benchmark_packs/engineering_controller_source_only_diagnostics_m2505/summary.json,m2505,medium,Role diagnostics are based on fixed public source-only fixtures.,artifact_manifest_rows=14,Avoid treating fixed-fixture telemetry as broad scenario generalization.,scenario generalization verdict,True
no_success_or_outcome_semantics,metric_artifact,baseline_comparison,unsupported_metric,runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/summary.json,m2501,high,"The comparison artifact does not compute success, collision, clearance, recovery-quality, or outcome verdicts.",success_rate_computed=False; role_subject_panel_row_count=9,Do not infer behavior quality from diagnostic rows.,driver performance or success-rate benchmark,True
no_controller_ranking_or_winner,metric_artifact,baseline_comparison,claim_boundary,runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/controller_role_metric_panel.csv,m2501,high,"The policy, coast, and full-brake rows are diagnostic envelopes only and are not ranked.",comparison_subject_count=3; ranking_run=False; winner_selected=False,Require a separate audited ranking protocol before any winner claim.,controller-family ranking or winner selection,True
self_id_and_fw_vs_gru_unsupported,self_id_evidence_gap,route_a_engineering,unsupported_claim,docs/m2507-engineering-controller-public-benchmark-pack-branch-synthesis.md,m2507,high,"Route A artifacts do not test finite-window-vs-GRU, wrong-history controls, or level3 self-identification.",M2507 rejects paper finite-window-vs-GRU and self-ID interpretations.,Keep paper-route claims separate from engineering diagnostic artifacts.,finite-window-vs-GRU or level3 self-identification conclusion,True
runtime_report_synthetic_observation_scope,deployability_scope,runtime_report,measurement_scope_limitation,runs/m2508_engineering_controller_runtime_inference_cost_report/summary.json,m2508,medium,Runtime report uses seeded synthetic shape-only observations and actor-only forward timing.,synthetic_observation_source=seeded_normal_shape_only; measurement_row_count=300,"Use timing as local actor inference cost, not simulator throughput or behavior quality.",deployment certification or simulator throughput,True
behavior_regression_unmeasured,behavior_regression,route_a_engineering,unmeasured_behavior,docs/m2509-engineering-controller-runtime-inference-cost-report-result-audit.md,m2509,medium,Runtime and packaging artifacts do not measure behavior regression or outcome quality.,M2509 accepts runtime cost only and rejects controller quality interpretation.,Behavior gates require a separate rollout/outcome protocol.,behavior improvement or regression verdict,True
current_sim_readiness_not_resolved,scenario_sampling_failure,post_m2470_route,route_boundary,docs/post-m2470-route-plan.md,post-m2470,medium,Current-sim readiness remains a diagnostic/mining concern and is not repaired by source-only Route A artifacts.,Route plan freezes current-sim as diagnostic/mining layer and starts parallel engineering/HF preparation.,Do not treat Route A artifacts as current-sim benchmark readiness.,current-sim benchmark verdict,True
large_lateral_envelope_outcome_unlabeled,diagnostic_behavior_envelope,source_only_roles,diagnostic_metric_limitation,runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/role_metric_panel.csv,m2498,medium,Source-only role telemetry exposes large lateral envelopes but has no outcome labels or success semantics.,max role abs_y_max=9.186174; success_rate_computed=False,Use lateral envelopes as diagnostic context only.,"off-road, recovery, or collision verdict",True
open_loop_baselines_not_controller_candidates,baseline_scope,baseline_comparison,baseline_limitation,runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/controller_role_metric_panel.csv,m2501,low,"Coast and straight-brake rows are fixed open-loop references, not controller candidates.",open_loop_rows_with_saturation=6; comparison_subject_count=3,"Keep open-loop rows as references in diagnostics, not as deployable controller families.",open-loop controller winner,True
