gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_present,lineage,True,"{'m2673_summary': True, 'protocol_to_runtime_profile_rows': True, 'runtime_enforcement_gate_rows': True, 'm2673_claim_boundary_rows': True, 'm2673_gate_matrix': True, 'm2674_audit_doc': True, 'm1674_summary': True, 'm2675_manifest': True, 'follow_up_manifest': True}",all M2673/M2674/M1674 source artifacts and M2676 follow-up manifest present,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2673_status_pass,lineage,True,True,True,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
measured_smoke_runner_pass,execution,True,controller_family_measured_routing_smoke_pass,controller_family_measured_routing_smoke_pass,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
episode_rows_complete,execution,True,48,48,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile_aggregate_complete,artifact,True,12,12,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec_aggregate_complete,artifact,True,4,4,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
all_selected_metrics_finite,metric,True,True,True,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
runtime_join_rows_cover_profiles,runtime_join,True,rows=12 pass=12,rows=12 pass=12,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
required_protocol_ids_joined,runtime_join,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
current_tiled_runtime_observed,runtime_join,True,"['L2_window_13_current_tiled', 'L2_window_25_current_tiled', 'L2_window_50_current_tiled', 'L2_window_100_current_tiled']",4 current-tiled runtime profiles observed,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
reset_truncated_policy_routing_ok,runtime_join,True,['every_step_control'],['every_step_control'],,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
actor_action_contract_preserved,actor_contract,True,all runtime-joined profiles preserve P0/action3/no-oracle boundary,all runtime-joined profiles preserve P0/action3/no-oracle boundary,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
no_private_holdout_or_profile_tuning,holdout_policy,True,all false,all false,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
no_training_ppo_replay,execution_guardrail,True,all false,all false,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
bounded_rollout_allowed_only,execution_guardrail,True,bounded public policy actions recorded,bounded public policy actions recorded,,"Route B bounded public comparison execution preflight only; diagnostic episode and aggregate metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
