exclusion_id,actor_input_family,forbidden,materialized_in_actor_input,status_pass,rationale,claim_boundary
m3086-exclusion-0001,hidden_oracle,True,False,True,hidden dynamics or simulator-only state,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0002,ttc,True,False,True,precomputed time-to-collision shortcut,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0003,target_label,True,False,True,trainer-side action or objective target,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0004,target_provenance,True,False,True,target source or fitted-row provenance,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0005,source_label,True,False,True,source policy label,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0006,route_label,True,False,True,route or branch decision label,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0007,outcome_label,True,False,True,success failure or completion outcome,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0008,progress_label,True,False,True,future progress or success-progress signal,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0009,verdict_label,True,False,True,validation ranking promotion or audit verdict,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
m3086-exclusion-0010,diagnostic_key,True,False,True,mu mass tire force feasibility or reward diagnostics,"M3086 Active Safety Driver v1 deployable direct-action safety-reflex runtime-contract materialization only; artifacts may define a callable obs72-to-action3 [steer throttle brake] runtime contract, interface rows, action probes, actor-input exclusions, claim guards, a gate matrix, a summary, and an M3087 audit manifest. No reset, step, rollout, replay, fitting, PPO, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, driver-performance verdict, current-sim verdict, repair success, robustness-result, high-fidelity validation, paper evidence, finite-window-vs-GRU evidence, full ideal driver completion, or self-ID claim is made"
