claim_id,claim_family,allowed_in_m2659,status_pass,evidence_required_before_claim,claim_boundary
m2659_claim_boundary_baseline_evidence_index_refreshed,baseline_evidence_index_refreshed,True,True,M2659 summary and refreshed evidence index artifacts,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_target_protected_report_indexed,target_protected_report_indexed,True,True,M2657 report artifacts and M2658 audit,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_protected_failure_blocker_indexed,protected_failure_blocker_indexed,True,True,M2657 protected tradeoff and focus rows,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_follow_up_result_audit_registered,follow_up_result_audit_registered,True,True,M2660 manifest,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_repair_success,repair_success,False,True,future proof/generalization/promotion gates,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_controller_family_ranking,controller_family_ranking,False,True,future ranking gate after explicit admission,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_winner_selection,winner_selection,False,True,future promotion gate,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_checkpoint_promotion,checkpoint_promotion,False,True,future promotion gate,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_success_rate_verdict,success_rate_verdict,False,True,future verdict milestone,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_driver_performance,driver_performance,False,True,future validation and claim audit,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_validation_result,validation_result,False,True,future validation result,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_high_fidelity_validation_result,high_fidelity_validation_result,False,True,future high-fidelity validation,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_paper_level_evidence,paper_level_evidence,False,True,future paper evidence matrix,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_finite_window_vs_gru,finite_window_vs_gru,False,True,future controller-family paper route,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_current_sim_verdict,current_sim_verdict,False,True,future current-sim synthesis,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2659_claim_boundary_level3_self_identification,level3_self_identification,False,True,future self-ID proof gate,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
