gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0;m2584_status=True;blockers=4,missing=0;m2584_status=True;blockers=4,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
external_state_extraction_boundary_rows_complete,contract,True,rows=4,rows=4;actor_visible=false;readiness=false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
time_step_actuator_latency_contract_rows_complete,contract,True,rows=4,rows=4;obs=72;action=3;mutation=false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
failure_status_taxonomy_mapping_rows_complete,contract,True,rows=4,rows=4;actor_visible=false;maps=true,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_only_fixture_smoke_lineage_rows_complete,lineage,True,rows=4,rows=4;external_runtime=false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_visibility_guard_rows_pass,contract,True,rows=4,rows=4;obs=72;action=3;hidden/outcomes/platform/protocol/mutation=false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=15;forbidden_claims=0,rows=15;forbidden_claims=0;design_materialized=true,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_contract_preserved,contract,True,obs=72;action=3,obs=72;action=3,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_blocker_closed_or_readiness_claim,claim_boundary,True,blockers_closed=false;readiness/admission/result=false,blockers_closed=false;readiness/admission/result=false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_platform_selection_or_external_execution,claim_boundary,True,platform_selection=false;external_validation=false,platform_selection=false;external_validation=false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_forbidden_execution_or_claim_flags,claim_boundary,True,all forbidden false,all forbidden false,,"Route A HF3 source-only adapter readiness blocker materialization preflight only; blocker definition artifacts may be materialized; not blocker closure, platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
