claim_id,claim_family,allowed_in_m2951,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2951_integration_contracts_materialized,artifact,True,True,True,M2951 materialization rows,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_follow_up_result_audit_registered,follow_up_route,True,True,True,M2952 audit manifest,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_candidate_execution,execution,False,False,True,future audited execution admission,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_checkpoint_mutation,implementation,False,False,True,future audited implementation admission,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_training_or_ppo,execution,False,False,True,future training manifest,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_validation_result,validation,False,False,True,future validation route,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_ranking_or_winner,ranking,False,False,True,future audited comparison route,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_checkpoint_promotion,promotion,False,False,True,future promotion gate,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_repair_success,verdict,False,False,True,future repair audit and validation route,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2951_driver_performance,driver_performance,False,False,True,future proof/generalization/claim audit,"M2951 post-scaffold integration contract materialization only; writes machine-checkable integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, gate, summary, doc, and follow-up audit artifacts. No candidate execution, checkpoint mutation, training, validation, ranking, promotion, repair success, driver performance, paper, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
