gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,artifact,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
role_family_count,panel_shape,True,4,4,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
fresh_seed_count_per_role,panel_shape,True,4,4,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
dynamics_axis_count,panel_shape,True,2,2,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
comparison_subject_count,panel_shape,True,5,5,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
expected_behavior_rows,panel_shape,True,160,160,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
expected_telemetry_rows,panel_shape,True,12800,12800,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
actor_contract_shape_72_action_3,actor_contract,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
hidden_oracle_actor_input_detected,actor_contract,True,False,False,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
all_policy_checkpoints_admitted,subject_admission,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
all_actions_finite,action_contract,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
all_actions_within_bounds,action_contract,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
all_rows_diagnostic_only_no_ranking_claim,claim_boundary,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
actor_visibility_guard_rows_pass,actor_contract,True,True,True,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
ranking_run,forbidden_claim,True,False,False,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
winner_selected,forbidden_claim,True,False,False,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
checkpoint_promoted,forbidden_claim,True,False,False,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
success_rate_computed,forbidden_claim,True,False,False,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
driver_performance_claim_made,forbidden_claim,True,False,False,,"M2641 materializes source-only diagnostic rows across fresh role seeds and dynamics axes; rows are not ranking, promotion, validation, success-rate, driver-performance, paper, current-sim, high-fidelity, or self-ID evidence"
