gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_present,lineage,True,"{'m2671_summary': True, 'm2671_controller_family_rows': True, 'm2671_task_family_rows': True, 'm2671_fairness_gate_rows': True, 'm2671_claim_boundary_rows': True, 'm2671_gate_matrix': True, 'm2672_audit_doc': True, 'm1205_synthesis_doc': True, 'follow_up_manifest': True}",all source artifacts present,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2671_status_pass,lineage,True,True,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_protocol_controller_ids_present,protocol,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_protocol_ids_runtime_mapped,protocol_to_runtime,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
runtime_profile_row_count,protocol_to_runtime,True,12,12,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_runtime_rows_pass,runtime_enforcement,True,all pass,all pass,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_runtime_gates_pass,runtime_enforcement,True,all pass,all pass,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
current_tiled_runtime_observed,runtime_enforcement,True,"[True, True, True, True]","[True, True, True, True]",,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
reset_truncated_policy_routing_ok,runtime_enforcement,True,[True],[True],,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
actor_contract_preserved,actor_contract,True,all mapped profiles P0/action3/no oracle,all mapped profiles P0/action3/no oracle,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
no_hidden_oracle_actor_input_detected,actor_contract,True,False,False,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
private_holdout_used,holdout_policy,True,False,False,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_execution_and_result_claim_flags_false,claim_boundary,True,True,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_artifacts_present,artifact,True,True,True,,"Route B history-vs-current-response runtime-enforcement materialization only; no policy rollout, replay, measured validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
