gate_id,gate_family,status_pass,requirement,observed,expected,blocks_execution_if_false,failure_type,claim_boundary
same_actor_boundary,actor_contract,True,all controller rows preserve P0 actor boundary,"P0 72/action 3, no hidden-oracle inputs","P0 72/action 3, no hidden-oracle inputs",True,contract_violation,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
same_action_contract,actor_contract,True,all controller rows use [steer throttle brake],action_shape=3,action_shape=3,True,contract_violation,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
same_train_eval_split,comparison_protocol,True,future execution must use same train/eval split,fixed split row required before execution,fixed split row required before execution,True,objective_overfit,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
same_public_gates,comparison_protocol,True,future execution must use same public gates,fixed gate set required before execution,fixed gate set required before execution,True,objective_overfit,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
no_private_holdout_tuning,holdout_policy,True,private holdout cannot be used for tuning,private_holdout_policy=not_used,private_holdout_policy=not_used,True,objective_overfit,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
no_profile_specific_post_result_tuning,comparison_protocol,True,no per-profile tuning after public results,blocked,blocked,True,objective_overfit,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
parameter_count_reporting,runtime_cost,True,future execution must report parameter count,required,required,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
observation_dim_reporting,runtime_cost,True,future execution must report observation dimension,required,required,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
recurrent_state_dim_reporting,runtime_cost,True,future execution must report recurrent state dimension,required,required,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
inference_latency_reporting,runtime_cost,True,future execution must report CPU inference latency,required,required,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
runtime_reporting,runtime_cost,True,future execution must report runtime,required,required,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
current_tiled_runtime_transform_enforced,profile_control,True,L2 current-tiled must be runtime-enforced,required before comparison execution,required before comparison execution,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
reset_truncated_runtime_semantics_enforced,profile_control,True,L3 reset/truncated control must be runtime-enforced,required before comparison execution,required before comparison execution,True,metric_artifact,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
source_diverse_task_rows_required,scenario_sampling,True,T2/T3/T4/T5 cannot rely on source-singleton positives,required before paper interpretation,required before paper interpretation,True,scenario_sampling_failure,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
claim_boundary_blocks_protocol_overclaim,claim_boundary,True,protocol rows cannot imply ranking or verdicts,all result claims false,all result claims false,True,proof_washout,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
