claim_id,claim_family,allowed_in_m2966,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2966-claim-allowed-0001,objective_materialization_artifacts_present,True,True,True,M2966 required artifact and follow-up audit registration,"M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-allowed-0002,row_assignment_artifacts_present,True,True,True,M2966 required artifact and follow-up audit registration,"M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-allowed-0003,objective_family_artifacts_present,True,True,True,M2966 required artifact and follow-up audit registration,"M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-allowed-0004,actor_and_claim_boundary_preserved,True,True,True,M2966 required artifact and follow-up audit registration,"M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-allowed-0005,m2967_result_audit_registered,True,True,True,M2966 required artifact and follow-up audit registration,"M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-blocked-0006,environment_reset_run,False,False,True,"repair success, nonzero residual quality, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-blocked-0007,policy_rollout_run,False,False,True,"repair success, nonzero residual quality, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-blocked-0008,training_run,False,False,True,"repair success, nonzero residual quality, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-blocked-0009,ppo_run,False,False,True,"repair success, nonzero residual quality, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2966-claim-blocked-0010,ranking_run,False,False,True,"repair success, nonzero residual quality, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2966 Route A actor-head delta nonzero residual objective materialization only; M2963 objective-admission rows may be transformed into objective-family, objective-component, row-assignment, success-identity, stale-guardrail, actor-contract, claim-boundary, and gate artifacts for later audit while all 56 localized rows and 11 stale fixed-source guardrails remain accounted. No reset, step, rollout, replay, validation, training, PPO, dependency work, nonzero residual fitting or selection, ranking, winner selection, promotion, success-rate verdict, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
