gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2706_gate_source_artifacts_present,lineage,True,"{'m2705_design': True, 'm2704_audit': True, 'm2703_summary': True, 'm2703_execution_admission_candidate_rows': True, 'm2703_execution_admission_rejection_rows': True, 'm2703_execution_admission_traceability_rows': True, 'm2703_actor_contract_guard_rows': True, 'm2703_claim_boundary_rows': True, 'm2703_gate_matrix': True, 'm2700_summary': True, 'm2700_adapter_candidate_mapping_rows': True, 'm2700_adapter_traceability_rows': True, 'executable_task_specs': True, 'executable_workload_matrix': True, 'post_m2470_route_plan': True}",all M2705 M2704 M2703 M2700 M1690 and route-plan source artifacts present,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2705_design_present,lineage,True,True,True,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2704_support_route_decision_present,lineage,True,True,True,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2703_status_pass,lineage,True,True,True,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2703_gate_matrix_pass,lineage,True,True,True,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
support_input_source_rows_cover_required_sources,lineage,True,17,17,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
support_candidates_cover_execution_admission_candidates,support_materialization,True,classified=12 source=12,one support row per M2703 execution-admission candidate,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
support_blockers_cover_non_ready_rows,support_materialization,True,non_ready=12 blockers=12,explicit blocker per non-ready support row,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
support_status_values_valid,support_materialization,True,['support_materialized_candidate_requires_new_workload_row'],known support status values,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
blocked_execution_admission_rows_not_reinterpreted_as_execution,execution_guardrail,True,all support rows no execution,no reset or rollout scheduled,,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
