gate_id,gate_stage,required_before,failure_type,pass_condition,forbidden_interpretation
actor_contract_72_3,pre_execution,any_materialized_row,contract_violation,observation_shape == 72 and action_shape == 3,changed actor/action contract
no_hidden_oracle_actor_inputs,pre_execution,any_materialized_row,contract_violation,actor_input_leak_flags empty or false,hidden/oracle actor features
protocol_layer_present,pre_execution,any_materialized_row,lineage_invalid,evidence_layer in registered layers,unregistered evidence layer
scenario_role_metadata_only,pre_execution,any_materialized_row,contract_violation,scenario_role present only as metadata,scenario role as actor input
row_schema_complete,pre_execution,materialization,metric_artifact,all required row fields emitted,partial schema without completeness flags
metric_registry_complete,pre_execution,materialization,metric_artifact,all metric families registered,unregistered metric interpretation
forbidden_registry_complete,pre_execution,materialization,metric_artifact,forbidden actor inputs and outcome shortcuts registered,silent oracle or ranking shortcut
layer_separation_preserved,pre_execution,materialization,validation_boundary,source-only current-sim and HF layers remain separate,source-only row as HF validation
all_attempted_rows_retained,future_execution,measured_behavior_claim,lineage_invalid,attempted rows include failures and resets,denominator pruning
reset_vs_behavior_failure_split,future_execution,measured_behavior_claim,scenario_sampling_failure,reset failures separated from behavior failures,sampler artifact as behavior failure
metric_completeness_per_row,future_execution,measured_behavior_claim,metric_artifact,metric_completeness_flags populated,missing metric silently dropped
same_case_denominators,future_execution,comparison_claim,objective_overfit,same-case denominators preserved,case-mismatched comparison
no_ranking_or_winner_fields,future_execution,any_behavior_artifact,metric_artifact,ranking_run false and winner_selected false,controller ranking or winner
source_only_diagnostic_claim_only,claim,source_only_diagnostic_rows,validation_boundary,claim_scope diagnostic only,source-only performance or validation claim
hf_validation_requires_later_audit,claim,future_high_fidelity_validation_rows,validation_boundary,separate HF validation audit exists,HF validation readiness from protocol materialization
