actor_guard_id,guard_family,observed,expected,status_pass,actor_visible,claim_boundary
m2769-actor-guard-0001,p0_observation_dim,72,72,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0002,action_dim,3,3,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0003,repair_candidate_row_count,8,8,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0004,context_only_row_count,4,4,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0005,guardrail_row_count,31,31,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0006,hidden_oracle_actor_input_required,False,False,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0007,actor_input_contract_changed,False,False,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0008,actor_visible_labels,False,False,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0009,environment_difficulty_relaxed,False,False,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-actor-guard-0010,active_config_overwritten,False,False,True,False,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
