target_id,target_family,source_key,task_family,source_edge_or_axis,taxonomy_axis,role_semantics_proxy,unbridgeable_reason,missing_contract,required_follow_up,parent_failure_type,protected_rows_in_success_denominator,target_labels_actor_visible,hidden_oracle_actor_input_required,materialization_only_no_execution,claim_boundary
m2691-target-0010,protected_mitigation_preservation,m2657_protected_mitigation_tradeoff_boundary,route_a_protected,scenario_role,scenario_role,unavoidable_mitigation,no exact current executable workload row for protected target task_family=route_a_protected source_edge=scenario_role profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0011,protected_mitigation_preservation,m2667_known_failure_subject_m1154_original_policy,route_a_protected,subject,subject,m1154_original_policy,no exact current executable workload row for protected target task_family=route_a_protected source_edge=subject profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0012,protected_mitigation_preservation,m2667_known_failure_subject_m2532_guarded_repair_policy,route_a_protected,subject,subject,m2532_guarded_repair_policy,no exact current executable workload row for protected target task_family=route_a_protected source_edge=subject profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0013,protected_mitigation_preservation,m2667_known_failure_subject_m2537_mitigation_preserving_policy,route_a_protected,subject,subject,m2537_mitigation_preserving_policy,no exact current executable workload row for protected target task_family=route_a_protected source_edge=subject profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0014,protected_mitigation_preservation,m2667_known_failure_dynamics_axis_fresh_protected_close_cut_in_fault,route_a_protected,dynamics_axis,dynamics_axis,fresh_protected_close_cut_in_fault,no exact current executable workload row for protected target task_family=route_a_protected source_edge=dynamics_axis profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0015,protected_mitigation_preservation,m2667_known_failure_dynamics_axis_fresh_protected_fault_delay_noise,route_a_protected,dynamics_axis,dynamics_axis,fresh_protected_fault_delay_noise,no exact current executable workload row for protected target task_family=route_a_protected source_edge=dynamics_axis profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0016,protected_mitigation_preservation,m2667_known_failure_dynamics_axis_fresh_protected_nominal,route_a_protected,dynamics_axis,dynamics_axis,fresh_protected_nominal,no exact current executable workload row for protected target task_family=route_a_protected source_edge=dynamics_axis profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0017,protected_mitigation_preservation,m2667_known_failure_metric_minimum_obstacle_clearance_m,route_a_protected,metric,metric,minimum_obstacle_clearance_m,no exact current executable workload row for protected target task_family=route_a_protected source_edge=metric profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0018,protected_mitigation_preservation,m2667_known_failure_metric_obstacle_penetration_proxy_m,route_a_protected,metric,metric,obstacle_penetration_proxy_m,no exact current executable workload row for protected target task_family=route_a_protected source_edge=metric profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0019,protected_mitigation_preservation,m2667_known_failure_metric_severity_proxy,route_a_protected,metric,metric,severity_proxy,no exact current executable workload row for protected target task_family=route_a_protected source_edge=metric profile=L3_online_gru,current executable workload row with exact task_family/source_edge/profile,protected taxonomy normalization or protected runner-spec generation before execution,source_not_executable_in_current_runner,False,False,False,True,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
