claim_id,claim_family,allowed_in_m2753,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2753-claim-bounded_execution_artifact_completeness,artifact,True,True,True,M2753 artifacts,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-follow_up_result_audit_registered,follow_up_route,True,True,True,M2754 result-audit manifest,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-driver_performance,performance,False,False,True,future validation gate,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-validation_readiness,validation,False,False,True,future validation-readiness manifest,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-success_rate_verdict,verdict,False,False,True,future validation or promotion gate,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-controller_ranking,ranking,False,False,True,future comparison gate,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-stress_axis_ranking,ranking,False,False,True,future comparison gate,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-winner_selection,promotion,False,False,True,future promotion gate,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-checkpoint_promotion,promotion,False,False,True,future promotion gate,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-claim-paper_evidence,paper,False,False,True,Route B proof/generalization gates,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
