claim_id,claim_family,claim_allowed_in_m2635,evidence_required_before_claim,status_pass,claim_boundary
bounded_command_attempt_or_blocker_evidence_materialized_claim_boundary,bounded_command_attempt_or_blocker_evidence_materialized,True,M2635 source availability rows command-attempt rows logs traces blockers artifact manifest claim-boundary rows and gate matrix,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_ready_for_execution_claim_boundary,dependency_ready_for_execution,False,future dependency readiness audit,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_build_succeeded_claim_boundary,source_build_succeeded,False,future source-build result audit,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
adapter_probe_succeeded_claim_boundary,adapter_probe_succeeded,False,future adapter-probe result audit,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_discovered_claim_boundary,backend_discovered,False,future backend discovery evidence,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_available_claim_boundary,backend_available,False,future backend availability audit,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_started_claim_boundary,backend_started,False,future backend execution milestone,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_executed_claim_boundary,reset_executed,False,future explicit reset execution,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_success_claim_boundary,reset_success,False,future reset-success audit,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
policy_action_executed_claim_boundary,policy_action_executed,False,future policy-action execution milestone,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
environment_step_executed_claim_boundary,environment_step_executed,False,future environment-step execution milestone,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_executed_claim_boundary,rollout_executed,False,future rollout execution milestone,True,"Route A HF3 selected-platform source-build/adapter-probe bounded actual execution-attempt preflight only; command-attempt rows logs traces and blocker classifications may be recorded, but not dependency readiness, source-build success, adapter-probe success, backend discovery, backend availability, reset execution, validation readiness/result, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
