claim_id,claim_family,allowed_in_m2746,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2746_bounded_execution_preflight,execution,True,True,True,M2746 execution/failure rows,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_execution_candidates_materialized,artifact,True,True,True,execution_candidate_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_candidate_resolution_materialized,artifact,True,True,True,execution_candidate_resolution_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_candidate_execution_rows_materialized,artifact,True,True,True,candidate_execution_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_candidate_failure_rows_materialized,artifact,True,True,True,candidate_execution_failure_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_guardrail_context_materialized,artifact,True,True,True,guardrail_context_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_actor_guard_materialized,artifact,True,True,True,actor_contract_guard_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_claim_boundary_materialized,artifact,True,True,True,claim_boundary_rows.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_gate_matrix_materialized,artifact,True,True,True,gate_matrix.csv,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746_run_state_materialized,artifact,True,True,True,run_state.json,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
