gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0,missing=0,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2592_closure_evidence_accepted,lineage,True,m2592_status=True;closure=True;protocol_ready=False,m2592_status=True;closure=True;protocol_ready=False,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
platform_candidate_rows_complete,contract,True,rows=3,rows=3;closure=true;selected/install/import/run/mutation=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_import_policy_rows_pass,contract,True,rows=3,rows=3;closure=true;install/import/run/mutation=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_protocol_skeleton_rows_pass,scenario,True,rows=2,rows=2;closure=true;protocol=true;readiness/result/execution=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_only_closure_evidence_rows_pass,lineage,True,rows=4,rows=4;materialized/audited/accepted=true;missing=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_guard_rows_pass,contract,True,rows=2,rows=protocol_rows;obs=72;action=3;hidden/outcomes/platform/protocol/mutation=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=14;forbidden_claims=0,rows=14;forbidden_claims=0;design_materialized=true,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_contract_preserved,contract,True,obs=72;action=3,obs=72;action=3,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_platform_selected_or_external_execution,claim_boundary,True,selected/install/import/run/reset/action/step/rollout/validation=false,selected/install/import/run/reset/action/step/rollout/validation=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_readiness_and_result_forbidden,claim_boundary,True,readiness/result/performance=false,readiness/result/performance=false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_forbidden_execution_or_claim_flags,claim_boundary,True,all forbidden false,all forbidden false,,"Route A HF3 after-closure platform/protocol readiness materialization preflight only; after-closure design artifacts may be materialized; not platform selection, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
