gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2688_gate_source_artifacts_present,artifact,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_required_artifacts_present,artifact,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_route_a_required_artifacts_covered,artifact_inventory,True,6,6,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_package_manifest_schema_complete,schema,True,17,17,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_artifact_inventory_complete,artifact_inventory,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_provenance_map_complete,provenance,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_known_blocker_disclosures_complete,known_blocker,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_actor_action_contract_preserved,actor_contract,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_hidden_oracle_actor_input_absent,actor_contract,True,False,False,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_gate_protected_mitigation_blocker_visible,known_blocker,True,True,True,,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
