row_id,evidence_family,backend_or_surface,status,row_count,actor_observation_shape,action_shape,actor_visible_source,labels_actor_visible,hidden_values_actor_visible,diagnostics_actor_visible,external_hf3_required,allowed_next_use,forbidden_interpretation,source_artifact
m2482_fixture_catalog,fixture_catalog,current_sim_autodrift_hf0 plus source_only_four_wheel_hf0,status_pass,10,72,3,ActorView only,False,False,False,False,handoff fixture taxonomy and admitted source-only fixture inventory,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2482_high_fidelity_interface_scenario_taxonomy_fixture_materialization_preflight/summary.json
m2484_fixture_smoke,fixture_smoke,source_only_four_wheel_hf0,status_pass,6,72,3,ActorView only,False,False,False,False,source-only fixture smoke accounting canned actions only,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2484_high_fidelity_interface_source_only_fixture_smoke_preflight/summary.json
m2496_role_parameterization,source_only_role_parameterization,source_only_four_wheel_hf0,status_pass,3,72,3,ActorView only,False,False,False,False,differentiated reset-only role fixture accounting,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2496_engineering_controller_source_only_role_fixture_parameterization_preflight/summary.json
m2498_parameterized_role_panel,source_only_role_metric_panel,source_only_four_wheel_hf0,status_pass,300,72,3,ActorView only,False,False,False,False,diagnostic source-only role telemetry only,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/summary.json
m2501_baseline_comparison,source_only_baseline_comparison,source_only_four_wheel_hf0,status_pass,900,72,3,ActorView only,False,False,False,False,diagnostic baseline comparison telemetry only,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/summary.json
m2505_public_pack,public_diagnostic_pack,source_only_diagnostic_pack,status_pass,14,72,3,ActorView only,False,False,False,False,public source-only diagnostic package provenance only,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",public_benchmark_packs/engineering_controller_source_only_diagnostics_m2505/summary.json
m2508_runtime_report,runtime_inference_cost,actor_forward_pass_cpu,status_pass,300,72,3,ActorView only,False,False,False,False,actor runtime accounting without control interpretation,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2508_engineering_controller_runtime_inference_cost_report/summary.json
m2548_hf0_parity_runtime,hf0_parity_runtime,HF0 P0 parity plus actor runtime materialization,status_pass,270,72,3,ActorView only,False,False,False,False,HF0 P0 parity and action mapping evidence only,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2548_engineering_controller_route_a_hf0_parity_and_runtime_materialization/summary.json
m2592_source_only_adapter_closure,source_only_adapter_closure,repo_local_source_only_adapter_boundary,status_pass,13,72,3,ActorView only,False,False,False,False,repo-local adapter boundary accounting only,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",runs/m2592_engineering_controller_route_a_hf3_source_only_adapter_blocker_closure/summary.json
m2638_selected_platform_blocker,selected_platform_source_dependency_blocker,chrono_vehicle_or_equivalent_open_backend,dependency_source_unavailable,1,72,3,ActorView only,False,False,False,True,resume only after valid source root package route or dependency acquisition manifest,"external HF3 execution, validation readiness, validation result, driver performance, controller ranking, source ranking, scenario-role ranking, winner selection, checkpoint promotion, success-rate verdict, package publication, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification",docs/m2638-engineering-controller-route-c-hf3-source-dependency-blocker-report-and-user-supplied-source-contract-design.md
