exclusion_id,source_panel,task_source_id,row_count,execution_candidate,execution_admitted,execution_run,actor_visible_allowed,ordinary_success_denominator_allowed,diagnostic_only_no_verdict,claim_boundary
m2753-prior-panel-exclusion-0001,m2737_candidate_execution_rows,m1680-spec-0000,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0002,m2737_candidate_execution_rows,m1680-spec-0002,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0003,m2737_candidate_execution_rows,m1680-spec-0004,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0004,m2737_candidate_execution_rows,m1680-spec-0005,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0005,m2737_candidate_execution_rows,m1680-spec-0006,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0006,m2737_candidate_execution_rows,m1680-spec-0036,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0007,m2737_candidate_execution_rows,m1680-spec-0038,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0008,m2737_candidate_execution_rows,m1680-spec-0040,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0009,m2737_candidate_execution_rows,m1680-spec-0041,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2753-prior-panel-exclusion-0010,m2746_candidate_execution_rows,m1680-spec-0000,2,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
