claim_id,claim_family,allowed_in_m2973,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2973-claim-allowed-0001,trace_panel_artifacts_present,True,True,True,M2973 required artifact and follow-up audit registration,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-allowed-0002,trace_panel_rows_present,True,True,True,M2973 required artifact and follow-up audit registration,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-allowed-0003,trace_availability_rows_present,True,True,True,M2973 required artifact and follow-up audit registration,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-allowed-0004,actor_and_claim_boundary_preserved,True,True,True,M2973 required artifact and follow-up audit registration,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-allowed-0005,m2974_result_audit_registered,True,True,True,M2973 required artifact and follow-up audit registration,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0006,residual_fitting_run,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0007,training_run,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0008,ppo_run,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0009,validation_run,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0010,ranking_run,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0011,winner_selected,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0012,checkpoint_mutated,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0013,checkpoint_promoted,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-claim-blocked-0014,repair_success_claim_made,False,False,True,"residual fitting readiness, residual quality, repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, profile ranking, checkpoint ranking, candidate ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification","M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
