claim_id,claim_family,allowed_in_m2684,claim_made,status_pass,evidence_required_before_claim,claim_boundary
bounded_subset_execution_preflight,execution,True,True,True,M2684 summary and subset execution artifacts,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
episode_rows_materialized,artifact,True,True,True,episode_rows.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile_aggregate_materialized,artifact,True,True,True,profile_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec_aggregate_materialized,artifact,True,True,True,spec_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
candidate_aggregate_materialized,artifact,True,True,True,candidate_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
source_edge_aggregate_materialized,artifact,True,True,True,source_edge_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
role_semantics_aggregate_materialized,artifact,True,True,True,role_semantics_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
outcome_aggregate_materialized,artifact,True,True,True,outcome_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
termination_reason_aggregate_materialized,artifact,True,True,True,termination_reason_aggregate.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
runtime_enforcement_join_rows_materialized,artifact,True,True,True,runtime_enforcement_join_rows.csv,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
