gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2667_gate_source_artifacts_present,artifact,True,True,True,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_required_artifacts_present,artifact,True,True,True,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_route_a_required_artifacts_covered,artifact_coverage,True,6,6,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_checkpoint_contract_72_action_3,actor_contract,True,True,True,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_hidden_oracle_actor_input_absent,actor_contract,True,False,False,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_protected_blocker_preserved,known_failure_boundary,True,True,True,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_protected_rows_outside_success_denominator,known_failure_boundary,True,False,False,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_actor_visible_failure_labels_absent,actor_contract,True,False,False,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_follow_up_result_audit_registered,process,True,True,True,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_single_admitted_next_action,process,True,1,1,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_claim_boundary_pass,claim_boundary,True,True,True,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_no_reset_rollout_training_validation,claim_boundary,True,False,False,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_gate_no_ranking_promotion_success_rate_performance,claim_boundary,True,False,False,,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
