gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0,missing=0,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2611_m2612_m2613_dependency_protocol_readiness_evidence_accepted,lineage,True,m2611_status=True;selected=chrono_vehicle_or_equivalent_open_backend;validation_ready=False;external_execution=False,m2611_status=True;selected=chrono_vehicle_or_equivalent_open_backend;validation_ready=False;external_execution=False,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_dependency_review_admission_rows_pass,contract,True,rows=4;selected=chrono_vehicle_or_equivalent_open_backend,rows=4;selected=chrono_vehicle_or_equivalent_open_backend;install/import/run/mutation=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
build_probe_plan_rows_pass,contract,True,rows=4,rows=4;source_build/adapter_probe/install/import/run/mutation=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_step_api_readiness_rows_pass,claim_boundary,True,rows=2,rows=2;obs=72;action=3;reset/step/action/rollout/validation=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_extractor_parity_rows_pass,contract,True,rows=2,rows=2;obs=72;deployable actor fields=true;hidden/status/labels=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
action_mapping_parity_rows_pass,contract,True,rows=2,"rows=2;action=3;mapping=[steer, throttle, brake];mutation/action=false",,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
scenario_role_binding_rows_pass,contract,True,rows=2,rows=2;role metadata not actor-visible;reset/rollout/result=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
result_export_replay_readiness_rows_pass,claim_boundary,True,rows=3,rows=3;replay/validation/result=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_admission_prerequisite_rows_pass,claim_boundary,True,rows=2,rows=2;all panels materialized;ready/admitted/execution/result=false,,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
