guard_id,contract_field,observed_value,expected_value,status_pass,actor_visible,claim_boundary
m2973-actor-guard-0001,actor_observation_dim,72,72,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0002,actor_action_dim,3,3,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0003,m2970_status_pass,True,True,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0004,m2970_gate_matrix_pass,True,True,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0005,m2971_accepts_m2970,True,True,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0006,m2972_admits_m2973,True,True,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0007,hidden_oracle_actor_input_required,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0008,future_target_actor_input_required,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0009,actor_visible_label,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0010,training_started,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0011,ppo_run,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0012,ranking_run,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0013,checkpoint_mutated,False,False,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2973-actor-guard-0014,raw_trace_availability_explicit,True,True,True,False,"M2973 Route A actor-head delta nonzero residual training trace-panel preflight only; accepted M2970 candidate and guard rows may be joined with M2960 bounded execution metadata to produce trace availability artifacts for later audit. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
