gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2816-gate-source_artifacts_present,lineage,True,"{'m2815_synthesis': True, 'm2813_summary': True, 'm2813_action_response_mechanism_rows': True, 'm2813_success_offtrack_contrast_rows': True, 'm2813_guardrail_context_rows': True, 'm2813_actor_contract_guard_rows': True, 'm2813_claim_boundary_rows': True, 'm2813_gate_matrix': True, 'm2807_candidate_execution_rows': True, 'm2807_candidate_execution_failure_rows': True, 'm2807_execution_candidate_resolution_rows': True, 'm2807_gate_matrix': True, 'm2810_summary': True, 'm2810_failure_localization_rows': True, 'm2810_guardrail_context_rows': True, 'm2810_actor_contract_guard_rows': True, 'm2810_gate_matrix': True, 'source_checkpoint': True, 'executable_task_specs': True, 'route_plan': True, 'follow_up_manifest': True}",all source artifacts plus follow-up manifest,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-m2813_status_pass,lineage,True,True,True,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-m2813_gate_matrix_pass,lineage,True,all_pass,all_pass,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-m2807_gate_matrix_pass,lineage,True,all_pass,all_pass,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-m2810_gate_matrix_pass,lineage,True,all_pass,all_pass,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-mechanism_row_count,diagnostic_accounting,True,12,12,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-source_offtrack_row_count,diagnostic_accounting,True,10,10,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-source_success_row_count,diagnostic_accounting,True,2,2,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-source_collision_row_count,diagnostic_accounting,True,0,0,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-all_fixed_rows_resolved,execution,True,all_resolved,all_resolved,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-all_rows_accounted,execution,True,12,12,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-execution_failure_count_zero,execution,True,0,0,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-gate-instrumented_execution_count,execution,True,12,12,,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
