claim_id,claim_family,claim_made,allowed,status_pass,evidence,claim_boundary
m2773_claim_repair_success,repair_success,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_driver_performance,driver_performance,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_validation_readiness,validation_readiness,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_validation_result,validation_result,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_ranking_or_winner_selection,ranking_or_winner_selection,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_checkpoint_promotion,checkpoint_promotion,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_success_rate_verdict,success_rate_verdict,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_paper_evidence,paper_evidence,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_finite_window_vs_gru_conclusion,finite_window_vs_gru_conclusion,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_current_sim_verdict,current_sim_verdict,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_high_fidelity_validation,high_fidelity_validation,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_full_ideal_driver_completion,full_ideal_driver_completion,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2773_claim_level3_self_identification,level3_self_identification,False,False,True,M2773 preflight is diagnostic materialization only,"M2773 materializes source-only diagnostic intervention rows only; rows are not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
