claim_id,claim_family,allowed_in_m2956,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2956_claim_allowed_actor_head_delta_execution_admission_materialized,actor_head_delta_execution_admission_materialized,True,True,True,M2956 candidate and rejection rows,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_allowed_source_guardrails_carried,source_guardrails_carried,True,True,True,M2956 source guardrail rows,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_allowed_actor_delta_contract_guards_materialized,actor_delta_contract_guards_materialized,True,True,True,M2956 actor delta guard rows,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_allowed_follow_up_result_audit_registered,follow_up_result_audit_registered,True,True,True,M2957 result-audit manifest,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_blocked_candidate_execution,candidate_execution,False,False,True,future audited evidence before any candidate_execution claim,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_blocked_implementation_readiness,implementation_readiness,False,False,True,future audited evidence before any implementation_readiness claim,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_blocked_checkpoint_mutation,checkpoint_mutation,False,False,True,future audited evidence before any checkpoint_mutation claim,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_blocked_training_or_ppo,training_or_ppo,False,False,True,future audited evidence before any training_or_ppo claim,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_blocked_validation_result,validation_result,False,False,True,future audited evidence before any validation_result claim,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956_claim_blocked_ranking_or_winner,ranking_or_winner,False,False,True,future audited evidence before any ranking_or_winner claim,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
