side_effect_guard_id,side_effect,scheduled_or_run,expected,status_pass,claim_boundary
m2953-m2951-side-effect-guard-0001,checkpoint_load,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0002,checkpoint_save,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0003,checkpoint_modify,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0004,checkpoint_rank,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0005,checkpoint_promote,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0006,environment_reset,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0007,environment_step,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0008,rollout_replay_validation,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0009,training_or_ppo,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-m2951-side-effect-guard-0010,dependency_build,False,False,True,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
