claim_id,claim_family,claim_allowed_in_m2627,evidence_required_before_claim,status_pass,claim_boundary
selected_platform_source_build_adapter_probe_execution_design_materialized_claim_boundary,selected_platform_source_build_adapter_probe_execution_design_materialized,True,M2627 source-build command contract adapter-probe command contract isolation guard source-build artifact capture adapter-probe trace capture outcome taxonomy actor/action guard claim-boundary and gate rows,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_ready_for_execution_claim_boundary,dependency_ready_for_execution,False,future dependency execution readiness audit,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_build_executed_claim_boundary,source_build_executed,False,future explicit source build execution,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
adapter_probe_executed_claim_boundary,adapter_probe_executed,False,future explicit adapter probe execution,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_available_claim_boundary,backend_available,False,future backend availability execution artifact,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_executed_claim_boundary,reset_executed,False,future explicit reset execution,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_success_claim_boundary,reset_success,False,future audited reset-success artifact,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
policy_action_executed_claim_boundary,policy_action_executed,False,future explicit policy-action execution,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
environment_step_executed_claim_boundary,environment_step_executed,False,future explicit environment-step execution,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_executed_claim_boundary,rollout_executed,False,future explicit rollout execution,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
