gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2769-gate-0001,source_artifacts_present,True,"{'m2766_summary': True, 'm2768_design': True, 'repair_admission_rows': True, 'mechanism_localization_rows': True, 'telemetry_join_rows': True, 'guardrail_context_rows': True, 'actor_contract_guard_rows': True, 'claim_boundary_rows': True, 'gate_matrix': True, 'm1690_workload': True, 'executable_specs': True, 'source_checkpoint': True, 'follow_up_manifest': True}",all source artifacts,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0002,m2766_status_pass,True,True,True,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0003,repair_candidate_count,True,8,8,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0004,context_only_count,True,4,4,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0005,guardrail_count,True,31,31,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0006,checkpoint_count,True,3,3,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0007,resolution_count,True,24,24,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0008,resolution_all_admitted,True,24,24,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0009,baseline_join_count,True,8,8,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0010,baseline_finite_telemetry,True,8,8,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0011,m2759_no_backfill,True,0,0,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0012,execution_accounting,True,24,24,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0013,execution_failures_absent,True,0,0,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2769-gate-0014,execution_rows_finite,True,24,finite selected metrics,,"M2769 Route A action-response mechanism-localized bounded repair execution preflight only; reset, step, policy action, and rollout are allowed only for the 8 M2766 admitted repair-design rows under fixed actor-head bias candidates while no replay, validation, training, PPO, source build, adapter probe, external simulation, private holdout, environment relaxation, active config overwrite, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
