source_artifact_id,source_path,source_exists,required,row_count_or_summary,source_role,claim_scope,blocked_interpretation
m2697_summary,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/summary.json,True,True,status_pass=True;result_class=engineering_controller_protected_mitigation_runner_spec_generation_materialization_pass,parent status and count summary,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_protected_runner_spec_rows,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/protected_runner_spec_rows.csv,True,True,rows=12,protected runner spec source rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_protected_workload_candidate_rows,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/protected_workload_candidate_rows.csv,True,True,rows=12,protected workload candidate source rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_spec_traceability_rows,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/spec_traceability_rows.csv,True,True,rows=160,protected target and spec traceability rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_unmaterialized_bridge_rows,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/unmaterialized_bridge_rows.csv,True,True,rows=0,source unmaterialized bridge rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_actor_contract_guard_rows,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/actor_contract_guard_rows.csv,True,True,rows=10,parent actor/action guard rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_claim_boundary_rows,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/claim_boundary_rows.csv,True,True,rows=32,parent claim boundary rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
m2697_gate_matrix,runs/m2697_engineering_controller_protected_mitigation_runner_spec_generation/gate_matrix.csv,True,True,rows=21,parent gate matrix rows,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
executable_task_specs,runs/m1690_controller_family_executable_workload_materialization_preflight/executable_task_specs.json,True,True,json_keys=claim_scope;executable_task_specs;generated_at_utc;protocol_name;source_task_specs;source_workload_matrix,current executable task schema reference,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
executable_workload_matrix,runs/m1690_controller_family_executable_workload_materialization_preflight/executable_workload_matrix.csv,True,True,rows=864,current executable workload schema reference,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, protected mitigation preservation result, controller-family ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-response sufficiency, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
