gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0,missing=0,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_m2605_m2606_decision_design_evidence_accepted,lineage,True,m2604_status=True;design=True;selected=False;selected_family=none;protocol_ready=False,m2604_status=True;design=True;selected=False;selected_family=none;protocol_ready=False,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
decision_result_rows_complete,contract,True,rows=1;selected=chrono_vehicle_or_equivalent_open_backend,rows=1;selected=chrono_vehicle_or_equivalent_open_backend;validation/performance=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
decision_evidence_rows_pass,lineage,True,rows=12,rows=12;platform_selection_decision=true;readiness/performance=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
candidate_disposition_rows_pass,contract,True,rows=3;selected=1,rows=3;selected_open=1;black_box_demo/repo_local_diagnostic rejected;execution=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_execution_guard_rows_pass,contract,True,rows=3,rows=3;install/import/run/mutation=false;future reviews=true,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_admission_guard_rows_pass,claim_boundary,True,rows=2,rows=2;decision=true;future prerequisites=true;ready/admitted/execution/result=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_guard_rows_pass,contract,True,rows=2,rows=admission_rows;obs=72;action=3;hidden/status/selection/outcomes=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=17;forbidden_claims=0,rows=17;forbidden_claims=0;decision_result_materialized=true;selected_open=true,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_contract_preserved,contract,True,obs=72;action=3,obs=72;action=3,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_external_execution_or_dependency_mutation,claim_boundary,True,install/import/run/mutation/reset/action/step/rollout/validation=false,install/import/run/mutation/reset/action/step/rollout/validation=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_readiness_result_and_performance_forbidden,claim_boundary,True,readiness/admission/result/performance=false,readiness/admission/result/performance=false,,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
