gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0;m2568_status=True,missing=0;m2568_status=True,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_request_rows_complete,scenario,True,rows=2,rows=2;policy=true;step=true;rollout=true;pilot=false;validation=false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
fixed_policy_source_rows_pass,lineage,True,rows=1,rows=1;m1154=true;ranking=none;promotion=false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_plan_rows_pass,scenario,True,rows=2,rows=2;horizon=8;success_rate=false;verdict=false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
policy_action_audit_rows_pass,metric,True,rows=16,rows>=2;rows<=16;obs=72;action=3;hidden=false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_step_outcome_rows_pass,metric,True,"rows=16;step_counts={'stable_aes_aeb_infeasible_hf3_rollout_request': 8, 'stable_avoidable_aeb_feasible_hf3_rollout_request': 8}",rows=policy_action_rows;min_steps_per_request>=1;actor_view=true;claims=false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_view_contract_rows_pass,contract,True,rows=18,rows=backend_steps+requests;obs=72;action=3;hidden=false;status=false;outcome=false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=9;forbidden_claims=0,rows=9;forbidden_claims=0;rollout_feasibility_execution_observed=true,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_contract_preserved,contract,True,obs=72;action=3,obs=72;action=3,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_forbidden_execution_or_claim_flags,claim_boundary,True,all forbidden false,all forbidden false,,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
