claim_id,claim_family,allowed_in_m2695,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2695_claim_allowed_protected_bridge_rows_materialized,artifact,True,True,True,protected_bridge_rows.csv,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_executable_candidate_rows_materialized,artifact,True,True,True,executable_candidate_rows.csv,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_unbridgeable_target_rows_materialized,artifact,True,True,True,unbridgeable_target_rows.csv,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_actor_contract_guard_rows_materialized,artifact,True,True,True,actor_contract_guard_rows.csv,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_claim_boundary_rows_materialized,artifact,True,True,True,claim_boundary_rows.csv,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_gate_matrix_materialized,artifact,True,True,True,gate_matrix.csv,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_protected_blocker_preserved,blocker,True,True,True,all protected rows classified without denominator use,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_allowed_follow_up_audit_registered,follow_up_route,True,True,True,M2696 result audit manifest,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_blocked_reset_execution,execution,False,False,True,future protected execution manifest,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2695_claim_blocked_policy_rollout,execution,False,False,True,future protected execution manifest,"M2695 protected mitigation target executable-surface bridge materialization only; M2694/M2693/M2691/M2664/M2667 artifacts and the current executable workload index may be reanalyzed into protected bridge, executable candidate, unbridgeable, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
