claim_id,claim_family,claim_allowed_in_m2615,evidence_required_before_claim,status_pass,claim_boundary
selected_platform_executable_protocol_readiness_design_materialized_claim_boundary,selected_platform_executable_protocol_readiness_design_materialized,True,M2615 source/dependency review build/probe reset/step actor/action scenario export/replay validation-admission guard claim-boundary and gate rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_dependency_review_admission_materialized_claim_boundary,source_dependency_review_admission_materialized,True,M2615 source/dependency review admission rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
build_probe_plan_materialized_claim_boundary,build_probe_plan_materialized,True,M2615 build/probe plan rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_step_api_contract_materialized_claim_boundary,reset_step_api_contract_materialized,True,M2615 reset/step API readiness rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_extractor_parity_materialized_claim_boundary,actor_extractor_parity_materialized,True,M2615 actor extractor parity rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
action_mapping_parity_materialized_claim_boundary,action_mapping_parity_materialized,True,M2615 action mapping parity rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
scenario_role_binding_materialized_claim_boundary,scenario_role_binding_materialized,True,M2615 scenario-role binding rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
result_export_replay_readiness_materialized_claim_boundary,result_export_replay_readiness_materialized,True,M2615 result export/replay rows,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_ready_for_execution_claim_boundary,dependency_ready_for_execution,False,future dependency execution readiness audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_build_executed_claim_boundary,source_build_executed,False,future explicit source build execution,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
adapter_probe_executed_claim_boundary,adapter_probe_executed,False,future explicit adapter probe execution,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reset_executed_claim_boundary,reset_executed,False,future explicit reset execution,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
environment_step_executed_claim_boundary,environment_step_executed,False,future explicit environment step execution,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_success_claim_boundary,rollout_success,False,future audited rollout-success criteria,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_protocol_ready_claim_boundary,validation_protocol_ready,False,future executable protocol-readiness audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_admission_granted_claim_boundary,validation_admission_granted,False,future validation-admission audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
external_validation_execution_claim_boundary,external_validation_execution,False,future explicit external-validation execution,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
high_fidelity_validation_readiness_claim_boundary,high_fidelity_validation_readiness,False,future validation readiness audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
high_fidelity_validation_result_claim_boundary,high_fidelity_validation_result,False,future external validation result audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
hf4_discrepancy_result_claim_boundary,hf4_discrepancy_result,False,future HF4 discrepancy audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
success_rate_or_controller_family_verdict_claim_boundary,success_rate_or_controller_family_verdict,False,separate verdict milestone,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
controller_ranking_or_winner_selection_claim_boundary,controller_ranking_or_winner_selection,False,controller-family comparison milestone,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
checkpoint_promotion_claim_boundary,checkpoint_promotion,False,promotion gates after proof and generalization retention,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
driver_performance_claim_boundary,driver_performance,False,measured validation with claim-boundary audit,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
paper_level_evidence_claim_boundary,paper_level_evidence,False,separate paper-route evidence matrix,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
finite_window_vs_gru_result_claim_boundary,finite_window_vs_gru_result,False,separate paper-route finite-window-vs-GRU matrix,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
current_sim_verdict_claim_boundary,current_sim_verdict,False,separate current-sim verdict synthesis,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
level3_self_identification_claim_boundary,level3_self_identification,False,separate self-ID proof gate,True,"Route A HF3 selected-platform executable-protocol readiness design materialization only; static executable protocol panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, reset execution, step execution, rollout success, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
