gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_present,lineage,True,"{'m2676_audit_doc': True, 'm2675_summary': True, 'm2675_runtime_join_rows': True, 'm2675_claim_boundary_rows': True, 'm2675_gate_matrix': True, 'm2673_summary': True, 'protocol_to_runtime_profile_rows': True, 'm2673_gate_matrix': True, 'm1690_summary': True, 'executable_task_specs': True, 'executable_workload_matrix': True, 'm1674_summary': True, 'm2677_manifest': True, 'follow_up_manifest': True}",all source artifacts and M2678 follow-up manifest present,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2673_status_pass,lineage,True,True,True,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2675_status_pass,lineage,True,True,True,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m1690_workload_materialization_pass,lineage,True,controller_family_executable_workload_materialization_preflight_pass,controller_family_executable_workload_materialization_preflight_pass,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
full_rollout_runner_pass,execution,True,controller_family_full_rollout_execution_pass,controller_family_full_rollout_execution_pass,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
episode_rows_complete,execution,True,864,864,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
failure_rows_empty,execution,True,failure_rows=0 summary=0,failure_rows=0 summary=0,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
profile_aggregate_complete,artifact,True,12,12,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec_aggregate_complete,artifact,True,72,72,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
stratum_aggregate_present,artifact,True,5,>0,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
comparison_aggregate_complete,artifact,True,11,>=11 diagnostic comparison rows,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
outcome_and_termination_aggregates_present,artifact,True,outcome=4 termination=4,both present,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
hidden_dynamics_diagnostic_artifacts_written,artifact,True,hidden=0 profile_hidden=0,0 or more diagnostic rows; artifact existence covered by required_artifacts_present,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
all_selected_metrics_finite,metric,True,True,True,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
runtime_join_rows_cover_profiles,runtime_join,True,rows=12 pass=12,rows=12 pass=12,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
required_protocol_ids_joined,runtime_join,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
current_tiled_runtime_observed,runtime_join,True,"['L2_window_13_current_tiled', 'L2_window_25_current_tiled', 'L2_window_50_current_tiled', 'L2_window_100_current_tiled']",4 current-tiled runtime profiles observed,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
reset_truncated_policy_routing_ok,runtime_join,True,['every_step_control'],['every_step_control'],,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
actor_action_contract_preserved,actor_contract,True,all runtime-joined profiles preserve P0/action3/no-oracle boundary,all runtime-joined profiles preserve P0/action3/no-oracle boundary,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
no_private_holdout_or_profile_tuning,holdout_policy,True,all false,all false,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
no_training_ppo_replay,execution_guardrail,True,all false,all false,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
full_rollout_allowed_only,execution_guardrail,True,full public policy actions recorded,full public policy actions recorded,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
comparison_rows_diagnostic_only,claim_boundary,True,all comparison rows diagnostic_only_no_ranking_claim,all comparison rows diagnostic_only_no_ranking_claim,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
claim_boundary_blocks_overclaim,claim_boundary,True,allowed=17 blocked=19,allowed=17 blocked=19,,"Route B full public T4/T5 comparison execution preflight only; diagnostic episode aggregate comparison outcome and hidden-dynamics metrics may be recorded, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
