evidence_id,source_milestone,artifact_path,evidence_family,evidence_role,evidence_status,row_count,target_or_protected,target_improvement_evidence,protected_failure_blocking,actor_contract_shape_72_action_3,hidden_oracle_actor_input_detected,source_exists,next_use,claim_scope,forbidden_interpretation
m2639_previous_route_a_evidence_index,m2639,runs/m2639_engineering_controller_route_a_baseline_evidence_index_refresh/evidence_index.csv,baseline_evidence_index,prior_index,stale_but_traceable,7,mixed,False,False,True,False,True,superseded by M2659 refreshed index,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2641_source_only_fresh_generalization_panel,m2641,runs/m2641_engineering_controller_route_a_source_only_fresh_generalization_panel/measured_behavior_rows.csv,source_only_closed_loop_generalization,source_baseline,materialized,160,mixed,False,False,True,False,True,source behavior rows remain baseline evidence,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2644_behavior_gap_taxonomy,m2644,runs/m2644_engineering_controller_route_a_source_only_behavior_gap_taxonomy/repair_target_admission_rows.csv,behavior_gap_taxonomy,target_map_and_reference_map,materialized,4,target_and_protected,False,True,True,False,True,taxonomy admits target design while preserving mitigation as reference,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2648_gap_targeted_repair_evidence,m2648,runs/m2648_engineering_controller_route_a_source_only_gap_targeted_repair_execution/repair_gate_evaluation.csv,source_only_repair_branch,target_pass_protected_fail,materialized_not_promoted,7,target_and_protected,True,True,True,False,True,target gates pass but protected mitigation reference fails,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2655_mitigation_preserving_repair_evidence,m2655,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/mitigation_preserving_gate_evaluation.csv,source_only_repair_branch,target_pass_protected_fail,materialized_not_promoted,9,target_and_protected,True,True,True,False,True,target preservation passes but protected component gates fail,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2656_repair_branch_pivot_synthesis,m2656,docs/m2656-engineering-controller-route-a-baseline-source-only-gap-targeted-repair-mitigation-preserving-repair-execution-branch-synthesis.md,branch_synthesis,repair_loop_pivot,materialized,1,protected_blocker,False,True,True,False,True,closes same-row repair loop and routes to target/protected report,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2657_target_protected_report_summary,m2657,runs/m2657_engineering_controller_route_a_source_only_target_protected_tradeoff_report/summary.json,target_protected_tradeoff_report,summary,materialized,4,target_and_protected,True,True,True,False,True,current target/protected report is accepted for index input only,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2657_scenario_role_metric_report,m2657,runs/m2657_engineering_controller_route_a_source_only_target_protected_tradeoff_report/scenario_role_metric_report.csv,scenario_role_metric_report,target_protected_split,materialized,4,target_and_protected,True,True,True,False,True,keeps target roles separate from protected mitigation role,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2657_target_tradeoff_rows,m2657,runs/m2657_engineering_controller_route_a_source_only_target_protected_tradeoff_report/target_protected_tradeoff_rows.csv,target_tradeoff_rows,target_improvement_evidence,materialized_not_success_denominator,4,target,True,False,True,False,True,index target improvements without repair success or promotion claim,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2657_protected_tradeoff_rows,m2657,runs/m2657_engineering_controller_route_a_source_only_target_protected_tradeoff_report/target_protected_tradeoff_rows.csv,protected_tradeoff_rows,protected_failure_blocker,materialized_blocking,5,protected,False,True,True,False,True,protected severity obstacle-penetration and clearance failures remain blocking,"Route A baseline evidence index refresh after target/protected report only; no repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim","repair success, driver performance, controller ranking, winner selection, checkpoint promotion, success-rate verdict, validation result, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
