trace_id,contract_source,contract_row_id,contract_field,panel_spec_id,trace_role,status_pass,actor_visible,claim_boundary
m2953-trace-0001,integration_surface_rows,m2951-integration-surface-0001,parent_action + bounded_residual_delta then action clamp,m2953-panel-spec-0001,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0002,actor_binding_rows,m2951-actor-binding-0001,actor_observation_dim,m2953-panel-spec-0002,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0003,actor_binding_rows,m2951-actor-binding-0002,action_dim,m2953-panel-spec-0002,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0004,actor_binding_rows,m2951-actor-binding-0003,action_mapping,m2953-panel-spec-0002,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0005,actor_binding_rows,m2951-actor-binding-0004,parent_distribution_path,m2953-panel-spec-0002,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0006,actor_binding_rows,m2951-actor-binding-0005,mapping_extra_keys_allowed,m2953-panel-spec-0002,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0007,residual_initialization_rows,m2951-residual-initialization-0001,zero_delta_parent_identity,m2953-panel-spec-0003,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0008,residual_initialization_rows,m2951-residual-initialization-0002,residual_head_observation_only_input,m2953-panel-spec-0003,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0009,residual_initialization_rows,m2951-residual-initialization-0003,zero_initialized_final_output_supported,m2953-panel-spec-0003,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2953-trace-0010,residual_initialization_rows,m2951-residual-initialization-0004,parent_trunk_mutation,m2953-panel-spec-0003,contract_to_panel_traceability,True,False,"M2953 source-diverse evidence-surface materialization only; accepted M2951 integration, actor-binding, residual-initialization, residual-bound, input-guard, side-effect-guard, claim-boundary, and gate rows may be reanalyzed into panel, source-diversity, and traceability artifacts for a later candidate-execution admission route. No candidate execution, checkpoint mutation, environment reset, rollout, replay, validation, training, PPO, dependency work, adapter probe, ranking, winner selection, promotion, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
