claim_id,claim_family,allowed_in_m2987,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2987-fitting_contract_materialized,artifact,True,True,True,M2987 materialization rows,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-follow_up_result_audit_registered,follow_up_route,True,True,True,M2988 audit manifest,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-target_quality_validated,target_quality,False,False,True,future target-quality audit,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-residual_fitting_readiness,readiness,False,False,True,M2988 result audit plus later fitting-admission design,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-residual_fitting_run,execution,False,False,True,future fitting preflight,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-training_run,execution,False,False,True,future training manifest,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-validation_result,validation,False,False,True,future validation route,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-ranking_or_winner,ranking,False,False,True,future audited comparison route,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-checkpoint_mutation,implementation,False,False,True,future audited implementation admission,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-checkpoint_promotion,promotion,False,False,True,future promotion gate,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-repair_success,verdict,False,False,True,future repair audit and validation route,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-driver_performance,driver_performance,False,False,True,future proof/generalization/claim audit,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-paper_evidence,paper,False,False,True,future audited evidence matrix,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-current_sim_verdict,validation,False,False,True,future current-sim verdict route,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-high_fidelity_validation,validation,False,False,True,future high-fidelity validation route,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-finite_window_vs_gru_result,paper,False,False,True,future fair comparison audit,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-level3_self_identification,self_id,False,False,True,future source-diverse intervention proof,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-full_ideal_driver_completion,full_goal,False,False,True,future full ideal driver gate,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
