claim_id,claim_family,allowed_in_m2688,status_pass,evidence_required_before_claim,claim_boundary
m2688_claim_boundary_package_protocol_materialized,package_protocol_materialized,True,True,M2688 protocol pack rows and gate matrix,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_package_artifacts_traced,package_artifacts_traced,True,True,artifact inventory and provenance rows,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_package_limitations_disclosed,package_limitations_disclosed,True,True,known blocker disclosure rows,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_published_package,published_package,False,True,explicit publication milestone and audit,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_deployment_readiness,deployment_readiness,False,True,future deployment readiness route,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_driver_performance,driver_performance,False,True,future validation and claim audit,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_validation_readiness,validation_readiness,False,True,future validation-readiness route decision,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_validation_result,validation_result,False,True,future validation execution result,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_source_build_readiness_or_result,source_build_readiness_or_result,False,True,future HF3 source availability and build attempt,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_adapter_probe_readiness_or_result,adapter_probe_readiness_or_result,False,True,future HF3 adapter probe attempt,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_backend_availability,backend_availability,False,True,future backend probe evidence,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2688_claim_boundary_reset_feasibility,reset_feasibility,False,True,future reset feasibility route,"Route A package-with-limitations protocol materialization only; no package publication, reset, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
