claim_id,claim_family,allowed_in_m2700,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2700_claim_allowed_adapter_input_source_rows_materialized,artifact,True,True,True,adapter_input_source_rows.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_adapter_candidate_mapping_rows_materialized,artifact,True,True,True,adapter_candidate_mapping_rows.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_adapter_rejection_rows_materialized,artifact,True,True,True,adapter_rejection_rows.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_adapter_traceability_rows_materialized,artifact,True,True,True,adapter_traceability_rows.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_actor_contract_guard_rows_materialized,artifact,True,True,True,actor_contract_guard_rows.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_claim_boundary_rows_materialized,artifact,True,True,True,claim_boundary_rows.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_gate_matrix_materialized,artifact,True,True,True,gate_matrix.csv,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_all_candidates_mapped_or_rejected,adapter_contract,True,True,True,mapping or rejection row for every candidate,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_protected_targets_accounted,traceability,True,True,True,adapter traceability for every M2697 target,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700_claim_allowed_follow_up_audit_registered,follow_up_route,True,True,True,M2701 result audit manifest,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
