guard_id,contract_field,observed_value,expected_value,status_pass,actor_visible,claim_boundary
m2977-actor-contract-actor_observation_dim,actor_observation_dim,True,True,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-actor_action_dim,actor_action_dim,True,True,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-raw_trace_file_count,raw_trace_file_count,56,56,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-stale_guardrails_protected,stale_guardrails_protected,11,11,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-actor_view_only,actor_view_only,True,True,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-hidden_oracle_actor_input_required,hidden_oracle_actor_input_required,False,False,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-future_target_actor_input_required,future_target_actor_input_required,False,False,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-objective_labels_actor_visible,objective_labels_actor_visible,False,False,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-admission_labels_actor_visible,admission_labels_actor_visible,False,False,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-actor-contract-trace_readiness_labels_actor_visible,trace_readiness_labels_actor_visible,False,False,True,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
