claim_id,claim_family,allowed_in_m2766,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2766-claim-0001,telemetry_join_materialized,True,True,True,M2766 telemetry join rows,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0002,mechanism_localization_panel_materialized,True,True,True,M2766 mechanism-localization rows,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0003,repair_admission_rows_materialized,True,True,True,M2766 non-ranking repair-admission rows,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0004,required_artifacts_present,True,True,True,M2766 required artifacts,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0005,result_audit_follow_up_registered,True,True,True,M2767 result-audit manifest,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0006,m2759_row_backfill,False,False,True,M2764 fresh finite telemetry artifacts,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0007,repair_success,False,False,True,separate repair design execution and audit,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0008,driver_performance,False,False,True,separate validation and promotion gates,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0009,validation_readiness,False,False,True,separate validation-readiness gate,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0010,validation_result,False,False,True,separate validation execution,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0011,ranking_or_winner_selection,False,False,True,separate controller-family comparison and ranking protocol,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0012,checkpoint_promotion,False,False,True,separate promotion gate,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0013,paper_evidence,False,False,True,separate paper route proof/generalization matrix,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0014,finite_window_vs_gru,False,False,True,separate controlled family comparison,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0015,current_sim_verdict,False,False,True,separate current-sim benchmark verdict gate,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0016,high_fidelity_validation,False,False,True,separate high-fidelity interface and validation route,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0017,full_ideal_driver_completion,False,False,True,full ideal driver gate,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-claim-0018,level3_self_identification,False,False,True,closed-loop self-identification proof gate,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
