claim_id,claim_family,claim_allowed_in_m2600,evidence_required_before_claim,status_pass,claim_boundary
after_closure_platform_selection_criteria_materialized_claim_boundary,after_closure_platform_selection_criteria_materialized,True,M2600 criteria auditability dependency/import risk validation-role compatibility actor/action guard claim-boundary and gate rows,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
platform_selected_for_validation_claim_boundary,platform_selected_for_validation,False,later explicit platform-selection result audit,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
selection_decision_made_claim_boundary,selection_decision_made,False,later platform-selection decision milestone,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_protocol_ready_claim_boundary,validation_protocol_ready,False,later protocol-readiness audit with executable protocol,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_admission_granted_claim_boundary,validation_admission_granted,False,later validation-admission result audit,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
external_validation_execution_claim_boundary,external_validation_execution,False,later explicit external-validation execution manifest,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
high_fidelity_validation_readiness_claim_boundary,high_fidelity_validation_readiness,False,later readiness decision after platform/protocol audit,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
high_fidelity_validation_result_claim_boundary,high_fidelity_validation_result,False,later external validation execution result audit,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
hf4_discrepancy_result_claim_boundary,hf4_discrepancy_result,False,later HF4 external validation and discrepancy result audit,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_success_claim_boundary,rollout_success,False,later audited rollout-success criteria,True,"Route A HF3 after-closure platform-selection criteria materialization preflight only; criteria artifacts may be materialized; not actual platform selection, selection decision, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
