claim_id,claim_family,allowed_in_m2693,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2693_claim_allowed_bounded_execution_preflight,execution,True,True,True,M2693 bounded target-panel execution/failure rows,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_target_execution_rows_materialized,artifact,True,True,True,target_execution_rows.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_offtrack_target_aggregate_materialized,artifact,True,True,True,offtrack_target_aggregate.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_protected_target_failure_rows_materialized,artifact,True,True,True,failure_rows.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_source_diversity_aggregate_materialized,artifact,True,True,True,source_diversity_aggregate.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_blocker_join_rows_materialized,artifact,True,True,True,blocker_join_rows.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_actor_contract_join_rows_materialized,artifact,True,True,True,actor_contract_join_rows.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_claim_boundary_rows_materialized,artifact,True,True,True,claim_boundary_rows.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_gate_matrix_materialized,artifact,True,True,True,gate_matrix.csv,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_run_state_materialized,artifact,True,True,True,run_state.json,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_diagnostic_metrics_recorded,diagnostic_metric,True,True,True,diagnostic target/source aggregate rows only,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_allowed_follow_up_audit_registered,follow_up_route,True,True,True,M2694 result-audit manifest,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_blocked_replay_execution,execution,False,False,True,future replay manifest,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_blocked_validation_execution,validation,False,False,True,future validation manifest,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_blocked_training_or_ppo,execution,False,False,True,future training manifest,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_blocked_private_holdout_tuning,holdout_policy,False,False,True,forbidden in M2693,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2693_claim_blocked_profile_specific_tuning,objective_overfit,False,False,True,future controlled tuning protocol,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
