gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_present,lineage,True,"{'m2670_doc': True, 'm2669_doc': True, 'post_m2470_route_plan': True, 'self_id_plan': True, 'finite_window_plan': True, 'm1187_doc': True, 'm1199_doc': True, 'm1200_doc': True, 'm1205_doc': True, 'follow_up_manifest': True}",all source docs and follow-up manifest present,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
controller_family_row_count,controller_family,True,9,9,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_controller_profiles_present,controller_family,True,"['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']","['L0-current', 'L1-one-step', 'L2-current-tiled', 'L2-window-100', 'L2-window-13', 'L2-window-25', 'L2-window-50', 'L3-online-GRU', 'L3-reset-truncated-control']",,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
task_family_row_count,task_family,True,5,5,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_task_families_present,task_family,True,"['T1-reactive', 'T2-delayed-response', 'T3-diagnostic-warmup', 'T4-older-history', 'T5-terminal-boundary']","['T1-reactive', 'T2-delayed-response', 'T3-diagnostic-warmup', 'T4-older-history', 'T5-terminal-boundary']",,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_fairness_gates_pass,fairness,True,all pass,all pass,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
fairness_gate_row_count,fairness,True,15,>=15,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
claim_boundary_row_count,claim_boundary,True,21,>=20,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
actor_contract_shape_72_action_3,actor_contract,True,72/3,72/3,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
hidden_oracle_actor_input_detected,actor_contract,True,False,False,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
current_tiled_control_present,profile_control,True,True,True,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
reset_truncated_control_present,profile_control,True,True,True,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
private_holdout_used,holdout_policy,True,False,False,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
all_execution_and_result_claim_flags_false,claim_boundary,True,True,True,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
required_artifacts_present,artifact,True,True,True,,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
