claim_id,claim_family,allowed_in_m2671,status_pass,evidence_required_before_claim,claim_boundary
protocol_materialization,protocol_materialization_readiness,True,True,M2671 summary and protocol rows,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
controller_family_rows_materialized,controller_family_protocol,True,True,controller_family_rows.csv,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
task_family_rows_materialized,task_family_protocol,True,True,task_family_rows.csv,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
fairness_gate_rows_materialized,fairness_gate_protocol,True,True,fairness_gate_rows.csv,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
claim_boundary_rows_materialized,claim_boundary_protocol,True,True,claim_boundary_rows.csv,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
follow_up_audit_registered,follow_up_route,True,True,M2672 result-audit manifest,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
reset_execution,execution,False,True,future execution manifest,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
rollout_execution,execution,False,True,future execution manifest,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
training_or_ppo,execution,False,True,future training manifest,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
controller_family_ranking,ranking,False,True,future ranking gate after audited execution,"Route B history-vs-current-response comparison protocol materialization only; no reset, rollout, replay, validation, training, PPO, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
