boundary_id,source_milestone,failure_family,taxonomy_axis,subject_or_axis_or_metric,row_count,blocking_row_count,regressed_row_count,protected_blocker_preserved,protected_rows_in_success_denominator,actor_visible_allowed,readiness_effect,claim_boundary
m2657_protected_mitigation_tradeoff_boundary,m2657,behavior_regression,scenario_role,unavoidable_mitigation,8,8,5,True,False,False,blocks repair success promotion validation readiness and driver-performance claims,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_subject_m1154_original_policy,m2664,saturated_protected_blocker,subject,m1154_original_policy,9,9,27,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_subject_m2532_guarded_repair_policy,m2664,mixed_protected_blocker,subject,m2532_guarded_repair_policy,9,8,26,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_subject_m2537_mitigation_preserving_policy,m2664,mixed_protected_blocker,subject,m2537_mitigation_preserving_policy,9,8,26,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_dynamics_axis_fresh_protected_close_cut_in_fault,m2664,saturated_protected_blocker,dynamics_axis,fresh_protected_close_cut_in_fault,9,9,34,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_dynamics_axis_fresh_protected_fault_delay_noise,m2664,saturated_protected_blocker,dynamics_axis,fresh_protected_fault_delay_noise,9,9,23,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_dynamics_axis_fresh_protected_nominal,m2664,mixed_protected_blocker,dynamics_axis,fresh_protected_nominal,9,7,22,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_metric_minimum_obstacle_clearance_m,m2664,saturated_protected_blocker,metric,minimum_obstacle_clearance_m,9,9,28,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_metric_obstacle_penetration_proxy_m,m2664,saturated_protected_blocker,metric,obstacle_penetration_proxy_m,9,9,28,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
m2667_known_failure_metric_severity_proxy,m2664,mixed_protected_blocker,metric,severity_proxy,9,7,23,True,False,False,known protected limitation remains visible in baseline readiness; not actor-visible and not a success denominator,"Route A engineering baseline readiness index after protected taxonomy only; no reset, rollout, replay, validation, training, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim"
