input_surface_id,source_family,source_artifact,source_exists,row_count,status_pass_or_present,surface_role,claim_scope
m2956-input-surface-0001,actor_head_delta_surface_summary,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/summary.json,True,1,True,M2953 status and false-claim flags,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0002,actor_head_delta_panel_specs,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/panel_spec_rows.csv,True,8,True,actor-head delta panel/spec rows,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0003,actor_head_delta_traceability,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/contract_traceability_rows.csv,True,88,True,M2951 contract to M2953 panel traceability,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0004,actor_head_delta_actor_guards,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/actor_contract_guard_rows.csv,True,8,True,actor 72/action 3 and label visibility guards,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0005,actor_head_delta_side_effect_guards,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/side_effect_guard_rows.csv,True,12,True,checkpoint/environment side-effect guards,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0006,actor_head_delta_claim_boundary,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/claim_boundary_rows.csv,True,19,True,M2953 claim boundary rows,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0007,actor_head_delta_gate_matrix,runs/m2953_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_source_diverse_evidence_surface_materialization_preflight/gate_matrix.csv,True,14,True,M2953 gates,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0008,actor_head_delta_result_audit,docs/m2954-engineering-controller-route-a-offtrack-dominant-constraint-balanced-actor-head-delta-source-diverse-evidence-surface-materialization-result-audit.md,True,1,True,M2954 acceptance audit,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0009,actor_head_delta_admission_design,docs/m2955-engineering-controller-route-a-offtrack-dominant-constraint-balanced-actor-head-delta-candidate-execution-admission-design.md,True,1,True,M2955 design authority,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-input-surface-0010,route_a_execution_admission_summary,runs/m2916_engineering_controller_route_a_dependency_facing_evidence_surface_execution_admission_materialization_preflight/summary.json,True,1,True,M2916 admitted-row summary,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
