claim_id,claim_family,allowed_in_m2983,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2983-claim-0001,numeric_target_tensor_materialized,True,True,True,M2984 audit,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0002,target_quality_validated,False,False,True,future target tensor audit and fitting-admission design,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0003,residual_fitting_readiness,False,False,True,M2984 audit plus fitting-admission design,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0004,residual_fitting_run,False,False,True,future fitting preflight,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0005,training_run,False,False,True,future training manifest and audit,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0006,validation_run,False,False,True,future validation manifest and audit,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0007,ranking_run,False,False,True,future ranking manifest and audit,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0008,checkpoint_mutated,False,False,True,future mutation manifest and audit,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0009,repair_success,False,False,True,closed-loop repair validation,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0010,driver_performance,False,False,True,held-out validation,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0011,paper_claim,False,False,True,paper gate,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0012,current_sim_verdict,False,False,True,current-sim validation gate,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0013,high_fidelity_validation,False,False,True,HF validation gate,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0014,full_ideal_driver,False,False,True,full ideal driver gate,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0015,finite_window_vs_gru,False,False,True,comparison gate,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-claim-0016,level3_self_id,False,False,True,self-ID proof gate,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
