gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
m2693_gate_source_artifacts_present,lineage,True,"{'m2692_audit_doc': True, 'm2691_summary': True, 'target_panel_rows': True, 'source_diversity_plan_rows': True, 'actor_contract_guard_rows': True, 'claim_boundary_rows': True, 'gate_matrix': True, 'executable_task_specs': True, 'executable_workload_matrix': True, 'm1674_summary': True, 'follow_up_manifest': True}",all M2691/M2692/workload/follow-up artifacts present,lineage_invalid,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_status_pass,lineage,True,True,True,lineage_invalid,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691_target_panel_shape,target_panel,True,targets=19 offtrack=9 protected=10,targets=19 offtrack=9 protected=10,metric_artifact,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
source_diversity_preserved,source_diversity,True,"['current_sim_offtrack', 'protected_mitigation']",current_sim_offtrack and protected_mitigation,objective_overfit,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
offtrack_targets_executed,execution,True,9,9,scenario_sampling_failure,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
protected_targets_recorded_as_failures,execution,True,10,10,behavior_regression,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
no_unexpected_failure_rows,execution,True,0,0,behavior_regression,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
all_targets_accounted,execution,True,19,19,metric_artifact,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
blocker_join_rows_cover_targets,blocker_join,True,rows=19 accounted=19,19,metric_artifact,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
all_selected_metrics_finite,metric,True,True,True,metric_artifact,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
actor_contract_preserved,contract,True,rows=9 pass=9,all actor joins pass,contract_violation,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
target_labels_actor_invisible,contract,True,target labels actor-invisible,all false,contract_violation,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
no_hidden_oracle_actor_input,contract,True,hidden/oracle target requirement false,all false,contract_violation,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
protected_not_success_denominator,proof_washout,True,protected rows outside success denominator,all false,proof_washout,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
bounded_single_profile_not_ranking,claim_boundary,True,single profile diagnostic; no ranking,single profile diagnostic; no ranking,objective_overfit,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
