claim_id,claim_family,allowed_in_m2759,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2759-claim-0001,route_a_probe_artifact_completeness,True,True,True,M2759 complete probe artifacts,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0002,result_audit_follow_up_registered,True,True,True,M2760 result-audit manifest,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0003,repair_success,False,False,True,separate repair design execution and audit,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0004,driver_performance,False,False,True,separate validation and promotion gates,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0005,validation_readiness,False,False,True,separate validation-readiness gate,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0006,validation_result,False,False,True,separate validation execution,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0007,ranking_or_winner_selection,False,False,True,separate controller-family comparison and ranking protocol,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0008,checkpoint_promotion,False,False,True,separate promotion gate,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0009,paper_evidence,False,False,True,separate paper route proof/generalization matrix,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0010,finite_window_vs_gru,False,False,True,separate controlled family comparison,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0011,current_sim_verdict,False,False,True,separate current-sim benchmark verdict gate,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0012,high_fidelity_validation,False,False,True,separate high-fidelity interface and validation route,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0013,full_ideal_driver_completion,False,False,True,full ideal driver gate,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-claim-0014,level3_self_identification,False,False,True,closed-loop self-identification proof gate,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
