actor_view_check_id,rollout_plan_id,rollout_request_id,source_phase,step_index,actor_observation_shape,action_shape,hidden_oracle_actor_input_detected,diagnostics_actor_visible,taxonomy_label_actor_visible,backend_status_actor_visible,reset_outcome_actor_visible,rollout_outcome_actor_visible,status_pass,claim_boundary
stable_aes_aeb_infeasible_hf3_rollout_request_plan_reset_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,reset,-1,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_0_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,0,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_1_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,1,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_2_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,2,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_3_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,3,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_4_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,4,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_5_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,5,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_6_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,6,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_aes_aeb_infeasible_hf3_rollout_request_plan_step_7_actor_view_contract,stable_aes_aeb_infeasible_hf3_rollout_request_plan,stable_aes_aeb_infeasible_hf3_rollout_request,step,7,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
stable_avoidable_aeb_feasible_hf3_rollout_request_plan_reset_actor_view_contract,stable_avoidable_aeb_feasible_hf3_rollout_request_plan,stable_avoidable_aeb_feasible_hf3_rollout_request,reset,-1,72,3,False,False,False,False,False,False,True,"Route A HF3 rollout-feasibility execution materialization preflight only; repo-local reset, fixed-policy action, and backend-step execution may be observed; not rollout success, ranking, validation, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
