claim_id,claim_family,allowed_in_m2813,claim_made,status_pass,evidence_required_before_claim,claim_boundary
m2813-claim-action_response_mechanism_panel_materialized,action_response_mechanism_panel_materialized,True,True,True,M2813 mechanism rows,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-success_offtrack_contrast_materialized,success_offtrack_contrast_materialized,True,True,True,M2813 contrast rows,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-guardrail_context_preserved,guardrail_context_preserved,True,True,True,M2813 guardrail context rows,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-actor_contract_preserved,actor_contract_preserved,True,True,True,M2813 actor guard rows,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-follow_up_result_audit_registered,follow_up_result_audit_registered,True,True,True,M2814 result-audit manifest,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-existing_artifacts_reanalyzed_only,existing_artifacts_reanalyzed_only,True,True,True,M2807/M2810/M2812 source artifacts,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-repair_success,repair_success,False,False,True,future repair result plus claim audit,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-driver_performance,driver_performance,False,False,True,future validation and claim audit,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-validation_readiness,validation_readiness,False,False,True,future validation-readiness route decision,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-claim-validation_result,validation_result,False,False,True,future validation result,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
