fixture_id,surface_id,role_family,source_support_status,fixture_admission_status,actor_observation_shape,action_shape,actor_visible_inputs,metadata_only_fields,implementation_target,blocker_if_not_admitted,next_check
hf0_current_sim_stable_avoidable_baseline,current_sim_autodrift_hf0,stable_avoidable,supported,baseline_reference,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,baseline_fixture_reference,,keep baseline reference in catalog completeness checks
hf0_current_sim_stable_aes_reference,current_sim_autodrift_hf0,stable_aes,limited_fixture,diagnostic_reference_only,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,current_sim_diagnostic_reference,stable-AES reset-ready support remains partial; do not restart static current-sim repair without synthesis,"keep as reference metadata, not as pilot admission"
hf0_current_sim_drift_required_recovery_baseline,current_sim_autodrift_hf0,drift_required_recovery,supported,baseline_reference,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,baseline_fixture_reference,,keep baseline reference in catalog completeness checks
hf0_current_sim_hidden_dynamics_robustness_baseline,current_sim_autodrift_hf0,hidden_dynamics_robustness,supported,baseline_reference,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,baseline_fixture_reference,,keep baseline reference in catalog completeness checks
hf0_current_sim_unavoidable_mitigation_reference,current_sim_autodrift_hf0,unavoidable_mitigation,limited_fixture,diagnostic_reference_only,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;obstacle_label;friction_step_timing;mu;mass;cg_shift;tire_brake_drive_actuator_scales;speed_ref;beta_target;path_error;heading_error;curvature;ttc_or_stopping_clearance;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,current_sim_diagnostic_reference,unavoidable feasibility is oracle metadata and cannot become actor input,define mitigation metrics only after fixture catalog materializes
hf0_four_wheel_stable_avoidable_baseline,source_only_four_wheel_hf0,stable_avoidable,supported,baseline_reference,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,baseline_fixture_reference,,keep baseline reference in catalog completeness checks
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,limited_fixture,admitted_for_materialization,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,source_only_four_wheel_fixture_metadata,,materialize deterministic evasive-steering fixture metadata
hf0_four_wheel_drift_required_recovery_fixture,source_only_four_wheel_hf0,drift_required_recovery,limited_fixture,admitted_for_materialization,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,source_only_four_wheel_fixture_metadata,,materialize recovery fixture metadata and backend reset options
hf0_four_wheel_hidden_dynamics_robustness_baseline,source_only_four_wheel_hf0,hidden_dynamics_robustness,supported,baseline_reference,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,baseline_fixture_reference,,keep baseline reference in catalog completeness checks
hf0_four_wheel_unavoidable_mitigation_fixture,source_only_four_wheel_hf0,unavoidable_mitigation,limited_fixture,admitted_for_materialization,72,3,ego_kinematics_and_imu_like_response;steering_throttle_brake_actuator_state;previous_physical_commands;ego_frame_road_boundary_geometry;ego_frame_obstacle_geometry_and_relative_motion,scenario_role_label;feasibility_class;source_model_state;vehicle_params;fault_scales;per_wheel_forces;slip_load_like_force_details;drag_and_rolling_forces;fixture_role_labels;reward_terms;success_or_termination_labels;fixture_id;fixture_admission_status;fixture_objective;fixture_reason;fixture_blocker,source_only_four_wheel_fixture_metadata,,materialize mitigation fixture metadata with actor contract checks
